id,weight,age,height,size
338,56,45.0,165.1,L
339,65,25.0,152.4,XL
340,54,43.0,160.02,S
341,52,28.0,160.02,XXS
342,81,36.0,162.56,XXXL
343,84,31.0,165.1,XXXL
344,61,46.0,177.8,M
345,45,30.0,162.56,XXS
346,61,45.0,162.56,XL
347,54,36.0,157.48,M
348,57,44.0,157.48,M
349,56,48.0,165.1,M
350,58,43.0,170.18,S
351,52,28.0,162.56,S
352,56,30.0,165.1,S
353,52,29.0,154.94,S
354,52,35.0,160.02,S
355,58,32.0,175.26,M
356,58,29.0,152.4,M
357,79,30.0,162.56,XXXL
358,70,44.0,170.18,XXXL
359,56,41.0,162.56,S
360,55,34.0,154.94,M
361,63,27.0,170.18,M
362,58,27.0,157.48,M
363,55,29.0,162.56,S
364,72,35.0,165.1,XXXL
365,70,31.0,167.64,XL
366,52,40.0,157.48,S
367,58,32.0,160.02,L
368,58,29.0,160.02,M
369,54,31.0,162.56,XXS
370,55,26.0,162.56,S
371,68,31.0,167.64,XL
372,53,21.0,157.48,L
373,53,30.0,160.02,S
374,58,53.0,170.18,L
375,61,26.0,160.02,M
376,63,34.0,170.18,L
377,72,45.0,170.18,XXXL
378,62,54.0,167.64,L
379,65,37.0,172.72,XXXL
380,54,35.0,157.48,M
381,54,28.0,157.48,XXS
382,61,29.0,165.1,M
383,61,27.0,162.56,L
384,70,36.0,172.72,L
385,65,25.0,142.24,L
386,81,25.0,172.72,XXXL
387,65,39.0,167.64,L
388,65,24.0,167.64,L
389,53,49.0,162.56,XXS
390,46,59.0,157.48,XXS
391,54,32.0,170.18,XXS
392,56,43.0,172.72,M
393,68,30.0,152.4,XXXL
394,68,30.0,165.1,M
395,61,34.0,162.56,L
396,61,23.0,172.72,XL
397,61,39.0,170.18,L
398,61,25.0,165.1,S
399,72,33.0,172.72,XXXL
400,54,39.0,157.48,M
401,68,33.0,182.88,M
402,64,,172.72,M
403,54,27.0,165.1,S
404,63,35.0,167.64,L
405,68,29.0,160.02,XL
406,58,47.0,154.94,M
407,58,34.0,165.1,M
408,61,35.0,170.18,S
409,70,42.0,160.02,XL
410,58,25.0,175.26,S
411,77,39.0,175.26,XXXL
412,73,38.0,177.8,XXXL
413,65,33.0,167.64,XL
414,58,34.0,162.56,S
415,58,28.0,152.4,L
416,65,24.0,170.18,L
417,65,50.0,162.56,XL
418,97,43.0,162.56,XXXL
419,55,28.0,157.48,S
420,54,48.0,162.56,M
421,65,29.0,172.72,L
422,56,62.0,162.56,M
423,50,29.0,152.4,S
424,63,49.0,170.18,L
425,63,35.0,177.8,M
426,68,40.0,175.26,XXXL
427,53,58.0,172.72,M
428,53,32.0,154.94,M
429,68,29.0,172.72,L
430,65,40.0,170.18,L
431,56,36.0,167.64,M
432,53,33.0,154.94,S
433,58,28.0,157.48,M
434,65,38.0,180.34,L
435,55,35.0,167.64,S
436,52,35.0,167.64,XXS
437,74,42.0,167.64,XXXL
438,54,31.0,165.1,S
439,62,38.0,172.72,XL
440,52,30.0,167.64,XXS
441,79,51.0,167.64,XXXL
442,75,38.0,182.88,XXXL
443,65,34.0,170.18,M
444,65,36.0,157.48,XXXL
445,58,39.0,167.64,XL
446,68,34.0,167.64,XL
447,70,28.0,177.8,L
448,70,37.0,167.64,XXXL
449,45,25.0,157.48,XXS
450,65,25.0,167.64,XL
451,86,53.0,160.02,XXXL
452,50,43.0,152.4,M
453,58,49.0,157.48,L
454,53,29.0,167.64,S
455,43,44.0,157.48,S
456,58,32.0,162.56,M
457,54,27.0,172.72,S
458,72,30.0,157.48,XXXL
459,52,28.0,154.94,M
460,61,29.0,162.56,M
461,68,34.0,170.18,XXXL
462,58,42.0,170.18,L
463,48,30.0,160.02,XXS
464,56,31.0,152.4,L
465,54,27.0,165.1,M
466,61,25.0,162.56,M
467,70,33.0,160.02,XXXL
468,62,33.0,167.64,L
469,56,32.0,165.1,S
470,56,34.0,162.56,S
471,47,28.0,160.02,XXS
472,68,37.0,167.64,XL
473,58,37.0,162.56,S
474,61,41.0,160.02,L
475,56,29.0,167.64,XXS
476,56,33.0,165.1,M
477,81,38.0,187.96,XXXL
478,56,25.0,165.1,XL
479,61,29.0,165.1,M
480,65,37.0,172.72,L
481,72,29.0,172.72,XXXL
482,63,34.0,175.26,L
483,68,38.0,160.02,XXXL
484,46,31.0,157.48,XXS
485,58,40.0,162.56,M
486,64,27.0,165.1,M
487,65,19.0,167.64,L
488,49,31.0,162.56,S
489,55,43.0,170.18,S
490,70,31.0,167.64,XL
491,72,27.0,167.64,XL
492,56,30.0,160.02,M
493,58,26.0,162.56,M
494,62,31.0,167.64,XL
495,68,30.0,167.64,XL
496,63,28.0,172.72,XL
497,58,27.0,160.02,L
498,63,38.0,160.02,XL
499,56,26.0,162.56,M
500,58,30.0,165.1,S
501,63,24.0,170.18,M
502,52,50.0,162.56,S
503,65,31.0,167.64,XL
504,70,32.0,172.72,XXXL
505,58,31.0,172.72,M
506,67,29.0,172.72,XL
507,58,36.0,162.56,M
508,52,24.0,160.02,S
509,54,24.0,152.4,L
510,52,28.0,162.56,S
511,58,35.0,170.18,S
512,70,37.0,170.18,XXXL
513,49,25.0,165.1,XXS
514,62,30.0,167.64,M
515,74,31.0,162.56,XL
516,56,52.0,157.48,S
517,69,37.0,167.64,L
518,74,37.0,170.18,XXXL
519,58,35.0,160.02,XXXL
520,55,24.0,175.26,S
521,62,42.0,162.56,S
522,65,30.0,167.64,M
523,65,30.0,165.1,XXXL
524,57,20.0,170.18,M
525,56,48.0,165.1,S
526,58,31.0,170.18,M
527,61,32.0,170.18,M
528,61,36.0,175.26,L
529,52,42.0,162.56,S
530,58,33.0,165.1,M
531,74,36.0,175.26,XXXL
532,56,25.0,167.64,S
533,63,51.0,162.56,L
534,52,26.0,157.48,M
535,63,27.0,165.1,XL
536,65,29.0,167.64,L
537,61,34.0,165.1,M
538,52,55.0,157.48,M
539,78,37.0,175.26,XL
540,52,27.0,162.56,S
541,68,33.0,160.02,XL
542,56,47.0,160.02,M
543,65,29.0,172.72,L
544,64,17.0,162.56,XL
545,77,48.0,167.64,XXXL
546,56,32.0,162.56,S
547,50,31.0,162.56,XXS
548,63,39.0,157.48,L
549,65,28.0,172.72,XL
550,56,43.0,170.18,XXS
551,49,44.0,154.94,S
552,63,35.0,170.18,XL
553,57,35.0,162.56,M
554,56,20.0,167.64,M
555,56,26.0,167.64,M
556,54,28.0,167.64,M
557,64,27.0,165.1,M
558,90,39.0,167.64,XXXL
559,68,37.0,165.1,XL
560,56,38.0,167.64,S
561,54,46.0,162.56,L
562,56,28.0,160.02,S
563,63,27.0,172.72,L
564,61,45.0,172.72,M
565,47,26.0,157.48,XXS
566,49,26.0,162.56,S
567,61,29.0,165.1,XXXL
568,68,28.0,,XL
569,58,29.0,165.1,L
570,48,34.0,165.1,XXS
571,56,29.0,170.18,S
572,104,34.0,162.56,XXXL
573,58,32.0,165.1,M
574,54,28.0,170.18,M
575,54,47.0,165.1,M
576,62,33.0,170.18,M
577,65,28.0,165.1,XXXL
578,54,49.0,154.94,M
579,55,33.0,162.56,M
580,63,25.0,162.56,XL
581,58,28.0,167.64,M
582,48,26.0,154.94,S
583,52,29.0,157.48,S
584,61,34.0,170.18,XXXL
585,54,27.0,165.1,S
586,54,35.0,157.48,S
587,63,37.0,165.1,L
588,56,45.0,160.02,M
589,61,32.0,154.94,M
590,68,38.0,172.72,XL
591,63,50.0,177.8,L
592,71,23.0,162.56,XXXL
593,72,43.0,170.18,XXXL
594,63,39.0,175.26,XL
595,79,31.0,165.1,XXXL
596,58,41.0,162.56,XL
597,55,29.0,172.72,L
598,86,29.0,175.26,XXXL
599,72,36.0,172.72,XXXL
600,54,34.0,167.64,S
601,55,28.0,167.64,S
602,52,31.0,162.56,S
603,65,38.0,165.1,XL
604,72,39.0,160.02,XXXL
605,70,33.0,170.18,L
606,58,32.0,160.02,M
607,65,32.0,167.64,XXXL
608,49,41.0,154.94,XXS
609,49,40.0,154.94,XXXL
610,65,29.0,162.56,L
611,48,34.0,160.02,S
612,88,28.0,172.72,XXXL
613,54,22.0,162.56,S
614,60,26.0,157.48,M
615,53,40.0,162.56,M
616,53,30.0,167.64,S
617,53,30.0,170.18,S
618,56,50.0,160.02,XL
619,61,26.0,162.56,M
620,83,29.0,154.94,XXXL
621,52,40.0,157.48,S
622,70,39.0,160.02,XXXL
623,49,37.0,167.64,S
624,54,44.0,165.1,M
625,61,25.0,165.1,L
626,56,40.0,160.02,L
627,63,34.0,160.02,M
628,95,28.0,167.64,XXXL
629,65,29.0,160.02,M
630,56,35.0,167.64,S
631,58,30.0,172.72,S
632,53,38.0,157.48,S
633,61,20.0,165.1,M
634,47,36.0,160.02,S
635,61,41.0,167.64,M
636,63,38.0,165.1,XL
637,70,37.0,172.72,L
638,69,25.0,160.02,XXXL
639,55,23.0,172.72,S
640,52,33.0,165.1,XXS
641,65,35.0,160.02,XL
642,72,36.0,165.1,XXXL
643,63,55.0,167.64,XXXL
644,68,36.0,172.72,XXXL
645,54,33.0,175.26,XL
646,68,26.0,162.56,L
647,56,32.0,157.48,XL
648,61,31.0,157.48,L
649,51,25.0,162.56,XXS
650,51,35.0,160.02,XXS
651,61,26.0,157.48,L
652,56,50.0,157.48,M
653,72,46.0,157.48,XXXL
654,70,28.0,162.56,L
655,63,37.0,160.02,XL
656,53,35.0,160.02,S
657,92,23.0,182.88,XXXL
658,74,33.0,162.56,XXXL
659,78,38.0,172.72,XXXL
660,63,31.0,172.72,L
661,54,23.0,154.94,M
662,53,39.0,162.56,S
663,54,35.0,157.48,M
664,49,43.0,172.72,S
665,55,29.0,157.48,M
666,58,49.0,167.64,M
667,72,29.0,170.18,XXXL
668,63,46.0,170.18,L
669,56,29.0,162.56,S
670,52,31.0,162.56,M
671,47,34.0,149.86,XXS
672,63,60.0,167.64,XXXL
673,79,33.0,177.8,XXXL
674,70,24.0,165.1,XL
675,65,37.0,157.48,XL
676,52,35.0,167.64,S
677,52,37.0,162.56,XXS
678,58,35.0,165.1,M
679,52,31.0,157.48,S
680,61,30.0,154.94,XL
681,56,30.0,165.1,S
682,55,27.0,170.18,M
683,52,31.0,165.1,XXS
684,54,31.0,172.72,L
685,60,28.0,170.18,M
686,49,37.0,170.18,S
687,61,40.0,167.64,L
688,68,32.0,170.18,XXXL
689,61,25.0,162.56,XL
690,61,29.0,165.1,M
691,58,31.0,157.48,L
692,65,30.0,170.18,L
693,51,29.0,162.56,S
694,58,33.0,152.4,L
695,61,37.0,185.42,L
696,95,29.0,170.18,XXXL
697,77,31.0,172.72,XXXL
698,56,30.0,167.64,S
699,49,36.0,157.48,XXS
700,60,41.0,162.56,XL
701,65,25.0,180.34,XXXL
702,54,29.0,154.94,M
703,59,53.0,157.48,XL
704,52,29.0,162.56,S
705,49,26.0,170.18,S
706,81,30.0,172.72,XXXL
707,52,31.0,162.56,S
708,56,37.0,170.18,M
709,58,34.0,157.48,S
710,65,36.0,180.34,S
711,83,22.0,167.64,XL
712,72,30.0,162.56,XXXL
713,58,37.0,157.48,XL
714,68,29.0,175.26,XL
715,54,29.0,160.02,S
716,83,35.0,167.64,XXXL
717,73,45.0,154.94,XL
718,72,39.0,172.72,XL
719,58,38.0,157.48,XL
720,58,33.0,167.64,L
721,84,30.0,177.8,XXXL
722,58,37.0,167.64,L
723,61,27.0,177.8,M
724,58,31.0,162.56,XXS
725,61,28.0,170.18,M
726,53,36.0,165.1,S
727,56,35.0,165.1,M
728,57,29.0,162.56,M
729,66,34.0,175.26,L
730,51,38.0,157.48,S
731,76,28.0,175.26,XL
732,86,33.0,167.64,XXXL
733,67,33.0,170.18,XL
734,53,29.0,175.26,XXS
735,68,36.0,162.56,XL
736,64,61.0,162.56,XXXL
737,65,26.0,170.18,XL
738,52,26.0,167.64,XXS
739,63,29.0,167.64,M
740,58,35.0,157.48,L
741,58,45.0,167.64,M
742,65,33.0,160.02,L
743,58,32.0,162.56,S
744,70,21.0,175.26,L
745,63,27.0,162.56,L
746,70,27.0,167.64,XL
747,61,32.0,170.18,XL
748,61,26.0,162.56,S
749,56,,165.1,L
750,56,31.0,160.02,M
751,49,31.0,172.72,XXS
752,61,31.0,157.48,XXXL
753,44,33.0,152.4,XXS
754,60,25.0,165.1,L
755,56,28.0,157.48,M
756,64,58.0,165.1,M
757,48,35.0,157.48,S
758,54,26.0,160.02,S
759,54,36.0,167.64,S
760,57,26.0,167.64,M
761,77,51.0,170.18,XXXL
762,56,32.0,175.26,S
763,62,32.0,167.64,M
764,61,29.0,162.56,M
765,65,30.0,170.18,L
766,54,30.0,157.48,S
767,59,26.0,162.56,L
768,64,28.0,172.72,M
769,57,31.0,172.72,M
770,61,34.0,165.1,L
771,56,28.0,157.48,S
772,64,32.0,167.64,XL
773,49,38.0,162.56,XXS
774,61,26.0,157.48,M
775,81,31.0,167.64,XXXL
776,54,35.0,157.48,M
777,61,32.0,167.64,XL
778,61,28.0,162.56,M
779,65,37.0,160.02,XXXL
780,58,30.0,165.1,M
781,74,30.0,162.56,XXXL
782,55,31.0,167.64,S
783,54,32.0,177.8,S
784,49,38.0,160.02,S
785,58,27.0,162.56,M
786,58,35.0,160.02,L
787,48,46.0,160.02,S
788,52,25.0,167.64,XXXL
789,74,22.0,177.8,XL
790,61,38.0,172.72,L
791,72,34.0,162.56,S
792,63,32.0,172.72,M
793,56,22.0,162.56,S
794,70,39.0,165.1,XL
795,58,38.0,170.18,M
796,56,57.0,170.18,M
797,56,36.0,170.18,M
798,54,25.0,165.1,S
799,77,51.0,165.1,XXXL
800,77,35.0,160.02,XXXL
801,61,37.0,170.18,L
802,49,22.0,152.4,S
803,54,45.0,162.56,M
804,53,19.0,160.02,S
805,56,38.0,172.72,S
806,61,25.0,165.1,XL
807,56,29.0,170.18,S
808,65,34.0,165.1,L
809,58,22.0,165.1,S
810,65,36.0,157.48,XXXL
811,63,40.0,162.56,L
812,57,39.0,167.64,S
813,68,36.0,175.26,XXXL
814,61,30.0,162.56,L
815,56,31.0,157.48,M
816,58,30.0,157.48,M
817,54,42.0,170.18,M
818,58,27.0,160.02,M
819,77,37.0,170.18,XXXL
820,99,44.0,175.26,XXXL
821,58,33.0,165.1,S
822,61,30.0,177.8,XL
823,72,24.0,172.72,L
824,47,31.0,152.4,XXS
825,86,29.0,167.64,XXXL
826,74,40.0,167.64,XXXL
827,72,38.0,175.26,XXXL
828,74,40.0,175.26,XXXL
829,65,30.0,175.26,XL
830,49,33.0,170.18,XXS
831,58,37.0,177.8,M
832,53,30.0,160.02,S
833,54,25.0,165.1,M
834,83,29.0,182.88,XXXL
835,74,32.0,165.1,XXXL
836,63,27.0,165.1,XXXL
837,65,28.0,157.48,XL
838,45,30.0,162.56,S
839,56,35.0,162.56,M
840,65,42.0,167.64,XL
841,49,31.0,157.48,S
842,58,36.0,162.56,M
843,90,47.0,160.02,XXXL
844,56,28.0,170.18,S
845,57,40.0,160.02,M
846,65,24.0,170.18,M
847,58,31.0,167.64,L
848,58,32.0,167.64,S
849,61,43.0,157.48,XL
850,56,29.0,160.02,S
851,47,35.0,154.94,XXS
852,48,40.0,157.48,S
853,63,28.0,172.72,M
854,70,29.0,167.64,XL
855,54,47.0,162.56,M
856,77,51.0,157.48,XXXL
857,54,31.0,154.94,S
858,54,29.0,165.1,XXS
859,58,23.0,154.94,M
860,62,34.0,170.18,L
861,64,31.0,157.48,XXXL
862,58,28.0,170.18,M
863,45,25.0,170.18,XXS
864,48,35.0,157.48,XXS
865,55,28.0,160.02,L
866,54,29.0,154.94,S
867,61,36.0,162.56,XL
868,90,33.0,172.72,L
869,57,27.0,170.18,L
870,56,39.0,165.1,S
871,102,27.0,170.18,XXXL
872,70,58.0,170.18,XXXL
873,68,28.0,177.8,XL
874,61,46.0,165.1,M
875,65,38.0,162.56,L
876,58,27.0,157.48,M
877,70,28.0,162.56,XXXL
878,79,29.0,157.48,XXXL
879,68,34.0,162.56,L
880,49,24.0,167.64,S
881,58,36.0,157.48,XL
882,68,32.0,180.34,XL
883,58,33.0,162.56,L
884,78,33.0,177.8,XL
885,55,24.0,170.18,M
886,59,34.0,162.56,M
887,56,21.0,160.02,S
888,60,26.0,157.48,S
889,58,30.0,157.48,L
890,58,30.0,175.26,S
891,77,41.0,167.64,XXXL
892,63,32.0,170.18,L
893,56,33.0,162.56,M
894,65,26.0,160.02,M
895,57,26.0,162.56,M
896,43,34.0,147.32,XXS
897,56,26.0,154.94,S
898,53,53.0,160.02,M
899,64,37.0,167.64,L
900,90,32.0,165.1,XXXL
901,61,25.0,160.02,M
902,72,58.0,157.48,XXXL
903,81,31.0,167.64,XXXL
904,54,25.0,160.02,M
905,92,38.0,157.48,XXXL
906,48,38.0,167.64,XXS
907,70,36.0,165.1,XL
908,52,32.0,152.4,XXS
909,52,33.0,157.48,M
910,56,37.0,175.26,M
911,74,31.0,160.02,XXXL
912,56,31.0,162.56,S
913,61,43.0,165.1,XXXL
914,58,38.0,167.64,M
915,54,23.0,162.56,XXS
916,56,31.0,157.48,S
917,56,26.0,165.1,XL
918,63,35.0,170.18,L
919,57,30.0,162.56,S
920,61,27.0,177.8,S
921,61,31.0,172.72,M
922,63,52.0,165.1,XL
923,63,35.0,160.02,XL
924,40,19.0,160.02,XXS
925,70,48.0,175.26,XXXL
926,70,33.0,167.64,XXXL
927,68,30.0,170.18,XXXL
928,63,30.0,165.1,L
929,46,36.0,149.86,XXS
930,56,38.0,170.18,S
931,61,48.0,170.18,XL
932,61,30.0,170.18,XL
933,54,47.0,162.56,XXS
934,65,28.0,165.1,XL
935,58,30.0,165.1,S
936,65,29.0,172.72,L
937,58,29.0,165.1,L
938,65,29.0,165.1,M
939,55,29.0,160.02,S
940,68,31.0,165.1,XL
941,70,31.0,177.8,XL
942,63,28.0,167.64,L
943,56,29.0,172.72,M
